vp,bl,tr,prime_type,resp,respac,rt,TrialNr
1,2,4,1,2,1,466,4
1,2,5,2,1,1,576,5
1,2,15,1,1,1,523,15
1,2,17,2,2,1,573,17
1,3,7,1,2,1,444,29
1,3,9,2,2,1,623,31
1,3,11,2,1,1,497,33
1,3,19,1,1,1,411,41
1,4,4,2,1,1,436,48
1,4,9,2,2,1,439,53
1,4,13,1,2,1,307,57
1,4,14,1,1,1,329,58
1,5,7,2,1,0,260,73
1,5,8,1,2,1,383,74
1,5,18,2,1,1,579,84
1,5,19,1,1,1,481,85
1,6,4,1,1,1,476,92
1,6,5,1,2,1,457,93
1,6,9,2,2,0,318,97
1,6,20,2,2,1,438,108
1,7,9,1,1,1,206,119
1,7,15,2,1,1,478,125
1,7,17,1,2,1,424,127
1,7,22,2,2,1,571,132
1,8,1,0,2,0,175,133
1,8,2,0,2,1,545,134
1,8,3,0,1,1,423,135
1,8,4,0,2,1,412,136
1,8,5,0,1,1,305,137
1,8,6,0,2,1,262,138
1,8,7,0,1,0,212,139
1,8,8,0,1,1,369,140
1,8,9,0,2,1,316,141
1,8,10,0,2,0,306,142
1,8,11,0,1,1,317,143
1,8,12,0,2,1,442,144
1,8,13,0,2,1,464,145
1,8,14,0,2,1,340,146
1,8,15,0,1,1,266,147
1,8,16,0,1,1,389,148
1,8,17,0,2,1,277,149
1,8,18,0,1,1,274,150
1,8,19,0,2,1,215,151
1,8,20,0,1,1,268,152
1,8,21,0,1,0,321,153
1,8,22,0,1,1,374,154
1,9,9,1,1,1,342,163
1,9,15,2,1,1,406,169
1,9,17,1,2,1,378,171
1,9,22,2,2,1,435,176
1,10,7,2,2,1,515,183
1,10,10,2,2,0,651,186
1,10,14,1,1,1,270,190
1,10,20,1,2,1,358,196
1,11,1,2,1,1,531,199
1,11,6,1,1,1,430,204
1,11,16,1,2,1,330,214
1,11,18,2,2,1,509,216
1,12,5,1,1,1,381,225
1,12,6,1,2,1,356,226
1,12,12,2,2,1,488,232
1,12,16,2,1,1,411,236
1,13,1,2,1,1,496,243
1,13,4,1,1,1,391,246
1,13,15,2,2,1,418,257
1,13,21,1,2,1,305,263
1,14,11,2,1,1,350,275
1,14,12,1,2,1,299,276
1,14,16,1,1,1,280,280
1,14,22,2,1,0,224,286
1,15,1,0,2,1,268,287
1,15,2,0,1,1,386,288
1,15,3,0,1,0,359,289
1,15,4,0,2,1,306,290
1,15,5,0,2,1,352,291
1,15,6,0,1,1,325,292
1,15,7,0,2,1,266,293
1,15,8,0,2,1,295,294
1,15,9,0,2,1,332,295
1,15,10,0,2,1,290,296
1,15,11,0,1,1,328,297
1,15,12,0,2,0,261,298
1,15,13,0,1,1,432,299
1,15,14,0,2,1,477,300
1,15,15,0,1,1,410,301
1,15,16,0,2,1,351,302
1,15,17,0,1,1,373,303
1,15,18,0,1,1,387,304
1,15,19,0,1,1,376,305
1,15,20,0,1,1,332,306
1,15,21,0,2,1,314,307
1,15,22,0,1,1,336,308
1,16,9,2,2,1,430,317
1,16,11,1,1,1,393,319
1,16,15,1,2,1,286,323
1,16,18,2,1,1,310,326
1,17,4,2,1,1,336,334
1,17,9,1,1,1,402,339
1,17,17,2,2,1,389,347
1,17,18,1,2,1,322,348
1,18,6,2,2,0,249,358
1,18,12,1,1,1,311,364
1,18,13,1,2,1,300,365
1,18,21,2,1,0,236,373
1,19,6,2,1,1,349,380
1,19,11,1,1,1,407,385
1,19,12,2,2,1,412,386
1,19,22,1,2,1,295,396
1,20,3,1,2,1,246,399
1,20,9,2,1,0,281,405
1,20,19,2,2,0,269,415
1,20,21,1,1,1,359,417
1,21,3,2,1,1,426,421
1,21,6,2,1,0,297,424
1,21,14,1,1,1,306,432
1,21,20,1,2,1,256,438
1,22,1,0,1,1,293,441
1,22,2,0,2,1,366,442
1,22,3,0,2,1,434,443
1,22,4,0,1,1,320,444
1,22,5,0,1,1,342,445
1,22,6,0,1,0,323,446
1,22,7,0,1,1,285,447
1,22,8,0,1,1,383,448
1,22,9,0,2,1,361,449
1,22,10,0,1,1,350,450
1,22,11,0,2,1,348,451
1,22,12,0,1,1,280,452
1,22,13,0,2,1,341,453
1,22,14,0,1,1,267,454
1,22,15,0,2,1,296,455
1,22,16,0,1,1,301,456
1,22,17,0,2,1,315,457
1,22,18,0,1,1,272,458
1,22,19,0,2,1,229,459
1,22,20,0,2,1,370,460
1,22,21,0,2,1,356,461
1,22,22,0,1,1,325,462
1,23,12,2,2,1,357,474
1,23,13,2,1,1,368,475
1,23,18,1,2,1,327,480
1,23,21,1,1,1,320,483
1,24,9,2,2,1,435,493
1,24,11,2,1,1,543,495
1,24,12,1,2,1,339,496
1,24,16,1,1,1,353,500
1,25,12,2,2,1,383,518
1,25,15,1,1,1,271,521
1,25,18,2,1,1,390,524
1,25,19,1,2,1,275,525
1,26,9,2,2,1,509,537
1,26,10,1,2,1,290,538
1,26,11,2,1,1,439,539
1,26,18,1,1,1,357,546
1,27,2,1,2,1,265,552
1,27,7,1,1,1,250,557
1,27,13,2,2,0,257,563
1,27,20,2,1,0,261,570
1,28,5,2,1,1,372,577
1,28,11,1,1,1,372,583
1,28,14,2,1,0,228,586
1,28,22,1,2,1,338,594
1,29,1,0,2,1,353,595
1,29,2,0,1,1,406,596
1,29,3,0,1,1,347,597
1,29,4,0,2,1,320,598
1,29,5,0,1,1,294,599
1,29,6,0,1,0,339,600
1,29,7,0,2,1,318,601
1,29,8,0,2,1,371,602
1,29,9,0,1,1,345,603
1,29,10,0,1,1,574,604
1,29,11,0,2,1,283,605
1,29,12,0,1,1,304,606
1,29,13,0,2,1,294,607
1,29,14,0,2,1,331,608
1,29,15,0,2,1,320,609
