pid,bl,tr,trial,condition,acc,drt
1,2,4,4,congruent,1,12
1,2,5,5,incongruent,1,15
1,2,15,15,congruent,1,14
1,2,17,17,incongruent,1,15
1,3,7,29,congruent,1,12
1,3,11,33,incongruent,1,13
1,3,19,41,congruent,1,11
1,4,4,48,incongruent,1,11
1,4,9,53,incongruent,1,11
1,4,13,57,congruent,1,8
1,4,14,58,congruent,1,9
1,5,7,73,incongruent,0,7
1,5,8,74,congruent,1,10
1,5,18,84,incongruent,1,15
1,5,19,85,congruent,1,13
1,6,4,92,congruent,1,12
1,6,5,93,congruent,1,12
1,6,9,97,incongruent,0,8
1,6,20,108,incongruent,1,11
1,7,9,119,congruent,1,6
1,7,15,125,incongruent,1,12
1,7,17,127,congruent,1,11
1,7,22,132,incongruent,1,15
1,8,1,133,blank,0,5
1,8,2,134,blank,1,14
1,8,3,135,blank,1,11
1,8,4,136,blank,1,11
1,8,5,137,blank,1,8
1,8,6,138,blank,1,7
1,8,7,139,blank,0,6
1,8,8,140,blank,1,10
1,8,9,141,blank,1,8
1,8,10,142,blank,0,8
1,8,11,143,blank,1,8
1,8,12,144,blank,1,12
1,8,13,145,blank,1,12
1,8,14,146,blank,1,9
1,8,15,147,blank,1,7
1,8,16,148,blank,1,10
1,8,17,149,blank,1,7
1,8,18,150,blank,1,7
1,8,19,151,blank,1,6
1,8,20,152,blank,1,7
1,8,21,153,blank,0,9
1,8,22,154,blank,1,10
1,9,9,163,congruent,1,9
1,9,15,169,incongruent,1,11
1,9,17,171,congruent,1,10
1,9,22,176,incongruent,1,11
1,10,7,183,incongruent,1,13
1,10,14,190,congruent,1,7
1,10,20,196,congruent,1,9
1,11,1,199,incongruent,1,14
1,11,6,204,congruent,1,11
1,11,16,214,congruent,1,9
1,11,18,216,incongruent,1,13
1,12,5,225,congruent,1,10
1,12,6,226,congruent,1,9
1,12,12,232,incongruent,1,13
1,12,16,236,incongruent,1,11
1,13,1,243,incongruent,1,13
1,13,4,246,congruent,1,10
1,13,15,257,incongruent,1,11
1,13,21,263,congruent,1,8
1,14,11,275,incongruent,1,9
1,14,12,276,congruent,1,8
1,14,16,280,congruent,1,7
1,14,22,286,incongruent,0,6
1,15,1,287,blank,1,7
1,15,2,288,blank,1,10
1,15,3,289,blank,0,9
1,15,4,290,blank,1,8
1,15,5,291,blank,1,9
1,15,6,292,blank,1,9
1,15,7,293,blank,1,7
1,15,8,294,blank,1,8
1,15,9,295,blank,1,9
1,15,10,296,blank,1,8
1,15,11,297,blank,1,9
1,15,12,298,blank,0,7
1,15,13,299,blank,1,11
1,15,14,300,blank,1,12
1,15,15,301,blank,1,11
1,15,16,302,blank,1,9
1,15,17,303,blank,1,10
1,15,18,304,blank,1,10
1,15,19,305,blank,1,10
1,15,20,306,blank,1,9
1,15,21,307,blank,1,8
1,15,22,308,blank,1,9
1,16,9,317,incongruent,1,11
1,16,11,319,congruent,1,10
1,16,15,323,congruent,1,8
1,16,18,326,incongruent,1,8
1,17,4,334,incongruent,1,9
1,17,9,339,congruent,1,11
1,17,17,347,incongruent,1,10
1,17,18,348,congruent,1,9
1,18,6,358,incongruent,0,7
1,18,12,364,congruent,1,8
1,18,13,365,congruent,1,8
1,18,21,373,incongruent,0,6
1,19,6,380,incongruent,1,9
1,19,11,385,congruent,1,11
1,19,12,386,incongruent,1,11
1,19,22,396,congruent,1,8
1,20,3,399,congruent,1,7
1,20,9,405,incongruent,0,8
1,20,19,415,incongruent,0,7
1,20,21,417,congruent,1,9
1,21,3,421,incongruent,1,11
1,21,6,424,incongruent,0,8
1,21,14,432,congruent,1,8
1,21,20,438,congruent,1,7
1,22,1,441,blank,1,8
1,22,2,442,blank,1,10
1,22,3,443,blank,1,11
1,22,4,444,blank,1,8
1,22,5,445,blank,1,9
1,22,6,446,blank,0,9
1,22,7,447,blank,1,8
1,22,8,448,blank,1,10
1,22,9,449,blank,1,10
1,22,10,450,blank,1,9
1,22,11,451,blank,1,9
1,22,12,452,blank,1,7
1,22,13,453,blank,1,9
1,22,14,454,blank,1,7
1,22,15,455,blank,1,8
1,22,16,456,blank,1,8
1,22,17,457,blank,1,8
1,22,18,458,blank,1,7
1,22,19,459,blank,1,6
1,22,20,460,blank,1,10
1,22,21,461,blank,1,9
1,22,22,462,blank,1,9
1,23,12,474,incongruent,1,9
1,23,13,475,incongruent,1,10
1,23,18,480,congruent,1,9
1,23,21,483,congruent,1,8
1,24,9,493,incongruent,1,11
1,24,11,495,incongruent,1,14
1,24,12,496,congruent,1,9
1,24,16,500,congruent,1,9
1,25,12,518,incongruent,1,10
1,25,15,521,congruent,1,7
1,25,18,524,incongruent,1,10
1,25,19,525,congruent,1,7
1,26,9,537,incongruent,1,13
1,26,10,538,congruent,1,8
1,26,11,539,incongruent,1,11
1,26,18,546,congruent,1,9
1,27,2,552,congruent,1,7
1,27,7,557,congruent,1,7
1,27,13,563,incongruent,0,7
1,27,20,570,incongruent,0,7
1,28,5,577,incongruent,1,10
1,28,11,583,congruent,1,10
1,28,14,586,incongruent,0,6
1,28,22,594,congruent,1,9
1,29,1,595,blank,1,9
1,29,2,596,blank,1,11
1,29,3,597,blank,1,9
1,29,4,598,blank,1,8
1,29,5,599,blank,1,8
1,29,6,600,blank,0,9
1,29,7,601,blank,1,8
1,29,8,602,blank,1,10
1,29,9,603,blank,1,9
1,29,10,604,blank,1,15
1,29,11,605,blank,1,8
1,29,12,606,blank,1,8
1,29,13,607,blank,1,8
1,29,14,608,blank,1,9
1,29,15,609,blank,1,8
1,29,16,610,blank,1,8
1,29,17,611,blank,1,9
1,29,18,612,blank,1,9
1,29,19,613,blank,1,8
1,29,20,614,blank,1,11
1,29,21,615,blank,1,10
1,29,22,616,blank,1,11
1,30,1,617,congruent,1,9
1,30,6,622,incongruent,1,11
1,30,12,628,congruent,1,9
1,30,22,638,incongruent,1,10
1,31,10,648,incongruent,0,6
1,31,16,654,congruent,1,8
1,31,18,656,congruent,1,8
1,31,19,657,incongruent,0,7
1,32,5,665,congruent,1,8
1,32,7,667,incongruent,1,12
1,32,12,672,incongruent,1,13
1,32,21,681,congruent,1,10
1,33,6,688,incongruent,0,7
1,33,7,689,incongruent,1,10
1,33,10,692,congruent,1,11
1,33,16,698,congruent,1,10
1,34,2,706,incongruent,0,6
1,34,4,708,incongruent,1,10
1,34,9,713,congruent,1,10
1,34,21,725,congruent,1,7
1,35,2,728,incongruent,0,6
1,35,7,733,congruent,1,11
1,35,12,738,incongruent,1,13
