pid,bl,tr,trial,condition,period,event
1,2,4,4,congruent,1,0
1,2,4,4,congruent,2,0
1,2,4,4,congruent,3,0
1,2,4,4,congruent,4,0
1,2,4,4,congruent,5,0
1,2,4,4,congruent,6,0
1,2,4,4,congruent,7,0
1,2,4,4,congruent,8,0
1,2,4,4,congruent,9,0
1,2,4,4,congruent,10,0
1,2,4,4,congruent,11,0
1,2,4,4,congruent,12,1
1,2,5,5,incongruent,1,0
1,2,5,5,incongruent,2,0
1,2,5,5,incongruent,3,0
1,2,5,5,incongruent,4,0
1,2,5,5,incongruent,5,0
1,2,5,5,incongruent,6,0
1,2,5,5,incongruent,7,0
1,2,5,5,incongruent,8,0
1,2,5,5,incongruent,9,0
1,2,5,5,incongruent,10,0
1,2,5,5,incongruent,11,0
1,2,5,5,incongruent,12,0
1,2,5,5,incongruent,13,0
1,2,5,5,incongruent,14,0
1,2,5,5,incongruent,15,1
1,2,15,15,congruent,1,0
1,2,15,15,congruent,2,0
1,2,15,15,congruent,3,0
1,2,15,15,congruent,4,0
1,2,15,15,congruent,5,0
1,2,15,15,congruent,6,0
1,2,15,15,congruent,7,0
1,2,15,15,congruent,8,0
1,2,15,15,congruent,9,0
1,2,15,15,congruent,10,0
1,2,15,15,congruent,11,0
1,2,15,15,congruent,12,0
1,2,15,15,congruent,13,0
1,2,15,15,congruent,14,1
1,2,17,17,incongruent,1,0
1,2,17,17,incongruent,2,0
1,2,17,17,incongruent,3,0
1,2,17,17,incongruent,4,0
1,2,17,17,incongruent,5,0
1,2,17,17,incongruent,6,0
1,2,17,17,incongruent,7,0
1,2,17,17,incongruent,8,0
1,2,17,17,incongruent,9,0
1,2,17,17,incongruent,10,0
1,2,17,17,incongruent,11,0
1,2,17,17,incongruent,12,0
1,2,17,17,incongruent,13,0
1,2,17,17,incongruent,14,0
1,2,17,17,incongruent,15,1
1,3,7,29,congruent,1,0
1,3,7,29,congruent,2,0
1,3,7,29,congruent,3,0
1,3,7,29,congruent,4,0
1,3,7,29,congruent,5,0
1,3,7,29,congruent,6,0
1,3,7,29,congruent,7,0
1,3,7,29,congruent,8,0
1,3,7,29,congruent,9,0
1,3,7,29,congruent,10,0
1,3,7,29,congruent,11,0
1,3,7,29,congruent,12,1
1,3,9,31,incongruent,1,0
1,3,9,31,incongruent,2,0
1,3,9,31,incongruent,3,0
1,3,9,31,incongruent,4,0
1,3,9,31,incongruent,5,0
1,3,9,31,incongruent,6,0
1,3,9,31,incongruent,7,0
1,3,9,31,incongruent,8,0
1,3,9,31,incongruent,9,0
1,3,9,31,incongruent,10,0
1,3,9,31,incongruent,11,0
1,3,9,31,incongruent,12,0
1,3,9,31,incongruent,13,0
1,3,9,31,incongruent,14,0
1,3,9,31,incongruent,15,0
1,3,11,33,incongruent,1,0
1,3,11,33,incongruent,2,0
1,3,11,33,incongruent,3,0
1,3,11,33,incongruent,4,0
1,3,11,33,incongruent,5,0
1,3,11,33,incongruent,6,0
1,3,11,33,incongruent,7,0
1,3,11,33,incongruent,8,0
1,3,11,33,incongruent,9,0
1,3,11,33,incongruent,10,0
1,3,11,33,incongruent,11,0
1,3,11,33,incongruent,12,0
1,3,11,33,incongruent,13,1
1,3,19,41,congruent,1,0
1,3,19,41,congruent,2,0
1,3,19,41,congruent,3,0
1,3,19,41,congruent,4,0
1,3,19,41,congruent,5,0
1,3,19,41,congruent,6,0
1,3,19,41,congruent,7,0
1,3,19,41,congruent,8,0
1,3,19,41,congruent,9,0
1,3,19,41,congruent,10,0
1,3,19,41,congruent,11,1
1,4,4,48,incongruent,1,0
1,4,4,48,incongruent,2,0
1,4,4,48,incongruent,3,0
1,4,4,48,incongruent,4,0
1,4,4,48,incongruent,5,0
1,4,4,48,incongruent,6,0
1,4,4,48,incongruent,7,0
1,4,4,48,incongruent,8,0
1,4,4,48,incongruent,9,0
1,4,4,48,incongruent,10,0
1,4,4,48,incongruent,11,1
1,4,9,53,incongruent,1,0
1,4,9,53,incongruent,2,0
1,4,9,53,incongruent,3,0
1,4,9,53,incongruent,4,0
1,4,9,53,incongruent,5,0
1,4,9,53,incongruent,6,0
1,4,9,53,incongruent,7,0
1,4,9,53,incongruent,8,0
1,4,9,53,incongruent,9,0
1,4,9,53,incongruent,10,0
1,4,9,53,incongruent,11,1
1,4,13,57,congruent,1,0
1,4,13,57,congruent,2,0
1,4,13,57,congruent,3,0
1,4,13,57,congruent,4,0
1,4,13,57,congruent,5,0
1,4,13,57,congruent,6,0
1,4,13,57,congruent,7,0
1,4,13,57,congruent,8,1
1,4,14,58,congruent,1,0
1,4,14,58,congruent,2,0
1,4,14,58,congruent,3,0
1,4,14,58,congruent,4,0
1,4,14,58,congruent,5,0
1,4,14,58,congruent,6,0
1,4,14,58,congruent,7,0
1,4,14,58,congruent,8,0
1,4,14,58,congruent,9,1
1,5,7,73,incongruent,1,0
1,5,7,73,incongruent,2,0
1,5,7,73,incongruent,3,0
1,5,7,73,incongruent,4,0
1,5,7,73,incongruent,5,0
1,5,7,73,incongruent,6,0
1,5,7,73,incongruent,7,1
1,5,8,74,congruent,1,0
1,5,8,74,congruent,2,0
1,5,8,74,congruent,3,0
1,5,8,74,congruent,4,0
1,5,8,74,congruent,5,0
1,5,8,74,congruent,6,0
1,5,8,74,congruent,7,0
1,5,8,74,congruent,8,0
1,5,8,74,congruent,9,0
1,5,8,74,congruent,10,1
1,5,18,84,incongruent,1,0
1,5,18,84,incongruent,2,0
1,5,18,84,incongruent,3,0
1,5,18,84,incongruent,4,0
1,5,18,84,incongruent,5,0
1,5,18,84,incongruent,6,0
1,5,18,84,incongruent,7,0
1,5,18,84,incongruent,8,0
1,5,18,84,incongruent,9,0
1,5,18,84,incongruent,10,0
1,5,18,84,incongruent,11,0
1,5,18,84,incongruent,12,0
1,5,18,84,incongruent,13,0
1,5,18,84,incongruent,14,0
