bin,index t,RS,#events,h(t),se[h(t)]),S(t),se[S(t)],ca(t),se[ca(t)],P(t),se[P(t)]
0,0,220,NA,NA,NA,1,0,NA,NA,0,0
40,1,220,0,0,0,1,0,NA,NA,0,0
80,2,220,0,0,0,1,0,NA,NA,0,0
120,3,220,0,0,0,1,0,NA,NA,0,0
160,4,220,0,0,0,1,0,NA,NA,0,0
200,5,220,0,0,0,1,0,NA,NA,0,0
240,6,220,0,0,0,1,0,NA,NA,0,0
280,7,220,7,0.032,0.0119,0.968,0.01187,0.29,0.172,0.031818181818181815,0.011833270723600957
320,8,213,13,0.061,0.0164,0.909,0.0194,0.77,0.117,0.05909090909090909,0.01589728014954974
360,9,200,26,0.13,0.0238,0.7908,0.02742,0.92,0.053,0.11818181818181818,0.02176474171609773
400,10,174,40,0.23,0.0319,0.6089,0.0329,1,0,0.18181818181818182,0.026003525161243428
440,11,134,48,0.358,0.0414,0.3909,0.03289,0.98,0.02,0.21818181818181817,0.02784523073221747
480,12,86,37,0.43,0.0534,0.2228,0.02805,1,0,0.16818181818181818,0.02521694003270565
520,13,49,32,0.653,0.068,0.0773,0.01801,1,0,0.14545454545454545,0.02376949158644304
560,14,17,9,0.529,0.1211,0.0364,0.01263,1,0,0.04090909090909091,0.013354525482547555
600,15,8,4,0.5,0.1768,0.0182,0.00901,1,0,0.01818181818181818,0.009007885351033858
