contrast,timebin,diff_ca,.lower,.upper
congruent minus blank,6,0.3620765170532989,0.06117154695527853,0.7446881179618239
congruent minus blank,7,0.32160961271411853,0.13212124855633875,0.5745545341801319
congruent minus blank,8,0.1552090545685768,0.06177586694193758,0.30544069370508953
congruent minus blank,9,0.07188577196773853,0.017289307296355173,0.17397119219193832
congruent minus blank,10,0.0032448444577223767,-0.0344933528917978,0.032329140217363
congruent minus blank,11,-0.02591658443827523,-0.1120763071773544,0.016628986936376298
congruent minus blank,12,-0.01788037314724053,-0.10347367048119457,0.030702433432253807
congruent minus blank,13,-0.035981692534072456,-0.19782118966206672,0.06156045025086912
congruent minus blank,14,-0.197402972381489,-0.5854521126755573,0.06792113866522267
congruent minus blank,15,-0.056946473250856076,-0.48698606619999474,0.283253481674613
incongruent minus blank,6,-0.6050283542787598,-0.9063230509805309,-0.22466563112156607
incongruent minus blank,7,-0.6448868909544222,-0.8352065873429092,-0.3824078009807303
incongruent minus blank,8,-0.6969184378802976,-0.8644464042848585,-0.40328746567342155
incongruent minus blank,9,-0.20877422709167678,-0.5861143465243418,0.0373780921660326
incongruent minus blank,10,-0.02898247540762836,-0.15309948709117221,0.01734305718937917
incongruent minus blank,11,-0.01859869580514161,-0.07271926885373783,0.017435585798238253
incongruent minus blank,12,-4.543267451074515e-4,-0.04006887553464243,0.03786330249095203
incongruent minus blank,13,0.005170329845298797,-0.055775972979450736,0.07981157124854565
incongruent minus blank,14,0.02311021506121284,-0.0864743897525449,0.1785699149992906
incongruent minus blank,15,-0.09385391238143313,-0.3928743829008705,0.22743401886108516
