timebin,contrast,prop_above,prop_below
6,congruent minus blank,0.985875,0.014125
7,congruent minus blank,0.991,0.009
8,congruent minus blank,0.951375,0.048625
9,congruent minus blank,0.78975,0.21025
10,congruent minus blank,0.243,0.757
11,congruent minus blank,0.15425,0.84575
12,congruent minus blank,0.32725,0.67275
13,congruent minus blank,0.281125,0.718875
14,congruent minus blank,0.193875,0.806125
15,congruent minus blank,0.469125,0.530875
6,incongruent minus blank,0.9835,0.0165
7,incongruent minus blank,0.91825,0.08175
8,incongruent minus blank,0.115125,0.884875
9,incongruent minus blank,0.003,0.997
10,incongruent minus blank,0.011125,0.988875
11,incongruent minus blank,0.017125,0.982875
12,incongruent minus blank,0.040875,0.959125
13,incongruent minus blank,0.203375,0.796625
14,incongruent minus blank,0.271625,0.728375
15,incongruent minus blank,0.5785,0.4215
