contrast,timebin,pred_haz,.lower,.upper
congruent minus blank,6,0.09251806436838815,0.04114795085254549,0.18253012399963997
congruent minus blank,7,0.1520390138508757,0.04889155041304241,0.2622406185445479
congruent minus blank,8,0.11379585058616488,-0.01600677520177253,0.24865257907815994
congruent minus blank,9,0.08132651484031421,-0.10926233889692658,0.25817970753130093
congruent minus blank,10,-0.07165735222104373,-0.27700376466420806,0.1420308901481586
congruent minus blank,11,-0.08783090768899901,-0.27108547870262284,0.10003726140989262
congruent minus blank,12,-0.03861695897132312,-0.21099877001709338,0.137219901284033
congruent minus blank,13,-0.06366717122831447,-0.2974349006691944,0.17410285451905091
congruent minus blank,14,-0.09361488251713326,-0.321795718462905,0.14599171176190529
congruent minus blank,15,-0.0029061315459591093,-0.285542955182539,0.2736646433050885
incongruent minus blank,6,0.09429215883410401,0.03216431370269411,0.20758935860599165
incongruent minus blank,7,0.07747672857460795,-0.02907748153213768,0.25306388849285466
incongruent minus blank,8,-0.07679689060943037,-0.18887490323788492,0.0528886338659896
incongruent minus blank,9,-0.2039607614084941,-0.33066121932702325,-0.07691352359134852
incongruent minus blank,10,-0.27529207485197693,-0.44953908754571825,-0.051329890338204134
incongruent minus blank,11,-0.21253009734058925,-0.37726234684151694,-0.01369517250694541
incongruent minus blank,12,-0.15323805041788222,-0.31023242444442956,0.01641262755990541
incongruent minus blank,13,-0.08948986114542055,-0.2827550851512549,0.1202200724807599
incongruent minus blank,14,-0.06675591889056215,-0.25296981377313754,0.13189903895075009
incongruent minus blank,15,0.027157341399045055,-0.22977702276514309,0.28044334074666283
