pid,timebin,contrast,diff,.lower,.upper
1,6,congruent minus blank,0.0651522407502847,0.026278431641346883,0.1123883756467491
2,6,congruent minus blank,0.05258373035125171,0.01905722242283741,0.09561941920632343
3,6,congruent minus blank,0.11980580901907896,0.0697290067922517,0.18528445840258823
4,6,congruent minus blank,0.05602100874686132,0.022162642540780972,0.10064657484542464
5,6,congruent minus blank,0.16613121510790818,0.09780482929927606,0.24917756002131589
6,6,congruent minus blank,0.0660552387856712,0.028321791745517792,0.11359268690871899
1,7,congruent minus blank,0.10977828548199581,0.039064411564861894,0.18425116603537828
2,7,congruent minus blank,0.12344870868900469,0.0660270297539484,0.18922082490363692
3,7,congruent minus blank,0.1544407381358124,0.08477807236022745,0.23033578234818525
4,7,congruent minus blank,0.10697766337211069,0.042467312369626545,0.175438408395563
5,7,congruent minus blank,0.29195267865769875,0.18148985840896464,0.40883255145386477
6,7,congruent minus blank,0.1444816296087376,0.0790016634563109,0.21703985823596092
1,8,congruent minus blank,0.0509000161632611,-0.050239756958865706,0.15395291459008478
2,8,congruent minus blank,0.03270567545358081,-0.037641788373321945,0.11236742864531762
3,8,congruent minus blank,0.08494625656373894,-0.006411333767049008,0.1827095318895286
4,8,congruent minus blank,0.011154074340616486,-0.08285378616873394,0.11319060528583452
5,8,congruent minus blank,0.17433022549907043,0.05665361956957328,0.3054036756207865
6,8,congruent minus blank,0.2908409978707753,0.19065655487895555,0.39435887037402395
1,9,congruent minus blank,0.01740797533577229,-0.1177690945807645,0.15402040603812386
2,9,congruent minus blank,-0.16787995511716003,-0.263643473285266,-0.06789771847584024
3,9,congruent minus blank,0.1520303639149548,0.019269503753036654,0.288215028876012
4,9,congruent minus blank,0.04259495465654259,-0.09292887839418858,0.17698878287797323
5,9,congruent minus blank,0.2233430208710101,0.058361794112743684,0.39038575477977555
6,9,congruent minus blank,0.28501826649185574,0.15643840356997293,0.41868828531619523
1,10,congruent minus blank,-0.2995292769753332,-0.46853920869183374,-0.12776719170909862
2,10,congruent minus blank,-0.24594173776519157,-0.3762225956519593,-0.11592316000969118
3,10,congruent minus blank,-0.1980731471565593,-0.3543228199872325,-0.030031354404037272
4,10,congruent minus blank,0.04175290929102279,-0.17765867970287708,0.22872077424499304
5,10,congruent minus blank,-0.09162974834582989,-0.2845071413646422,0.120843254654352
6,10,congruent minus blank,0.11674586842786239,-0.04131091771069092,0.28765195863601445
1,11,congruent minus blank,-0.13872651813054201,-0.3847258102463183,0.10386409117079093
2,11,congruent minus blank,0.01975325729193626,-0.1729060805262459,0.20782994158391876
3,11,congruent minus blank,-0.14375066211467505,-0.3341952132584647,0.04620789877975485
4,11,congruent minus blank,-0.09026657315209236,-0.3944416877739039,0.2407305959349387
